C:\Self_Driving\data_train\IMG\center_2019_04_30_01_04_38_001.jpg, C:\Self_Driving\data_train\IMG\left_2019_04_30_01_04_38_001.jpg, C:\Self_Driving\data_train\IMG\right_2019_04_30_01_04_38_001.jpg, 0, 0, 0, 7.841746E-05
C:\Self_Driving\data_train\IMG\center_2019_04_30_01_04_38_107.jpg, C:\Self_Driving\data_train\IMG\left_2019_04_30_01_04_38_107.jpg, C:\Self_Driving\data_train\IMG\right_2019_04_30_01_04_38_107.jpg, 0, 0, 0, 7.842027E-05
C:\Self_Driving\data_train\IMG\center_2019_04_30_01_04_38_207.jpg, C:\Self_Driving\data_train\IMG\left_2019_04_30_01_04_38_207.jpg, C:\Self_Driving\data_train\IMG\right_2019_04_30_01_04_38_207.jpg, 0, 0, 0, 7.796087E-05
C:\Self_Driving\data_train\IMG\center_2019_04_30_01_04_38_311.jpg, C:\Self_Driving\data_train\IMG\left_2019_04_30_01_04_38_311.jpg, C:\Self_Driving\data_train\IMG\right_2019_04_30_01_04_38_311.jpg, 0, 0, 0, 7.792576E-05
C:\Self_Driving\data_train\IMG\center_2019_04_30_01_04_38_413.jpg, C:\Self_Driving\data_train\IMG\left_2019_04_30_01_04_38_413.jpg, C:\Self_Driving\data_train\IMG\right_2019_04_30_01_04_38_413.jpg, 0, 0, 0, 7.874311E-05
C:\Self_Driving\data_train\IMG\center_2019_04_30_01_04_38_517.jpg, C:\Self_Driving\data_train\IMG\left_2019_04_30_01_04_38_517.jpg, C:\Self_Driving\data_train\IMG\right_2019_04_30_01_04_38_517.jpg, 0, 0, 0, 7.87692E-05
C:\Self_Driving\data_train\IMG\center_2019_04_30_01_04_38_619.jpg, C:\Self_Driving\data_train\IMG\left_2019_04_30_01_04_38_619.jpg, C:\Self_Driving\data_train\IMG\right_2019_04_30_01_04_38_619.jpg, 0, 0, 0, 7.784897E-05
C:\Self_Driving\data_train\IMG\center_2019_04_30_01_04_38_723.jpg, C:\Self_Driving\data_train\IMG\left_2019_04_30_01_04_38_723.jpg, C:\Self_Driving\data_train\IMG\right_2019_04_30_01_04_38_723.jpg, 0, 0, 0, 7.838861E-05
C:\Self_Driving\data_train\IMG\center_2019_04_30_01_04_38_825.jpg, C:\Self_Driving\data_train\IMG\left_2019_04_30_01_04_38_825.jpg, C:\Self_Driving\data_train\IMG\right_2019_04_30_01_04_38_825.jpg, 0, 0, 0, 7.819234E-05
C:\Self_Driving\data_train\IMG\center_2019_04_30_01_04_38_930.jpg, C:\Self_Driving\data_train\IMG\left_2019_04_30_01_04_38_930.jpg, C:\Self_Driving\data_train\IMG\right_2019_04_30_01_04_38_930.jpg, 0, 0, 0, 7.800007E-05
